href,year,make,model,trim,odometer,seller_type,date_found,location,listed_price
https://www.facebook.com/marketplace/item/1948430416111033/,2014,Hyundai,ix35,,151,,2025-11-26,,12999
https://www.facebook.com/marketplace/item/1617422502587057/,2014,Hyundai,ix35,,194,,2025-11-26,,8900
https://www.facebook.com/marketplace/item/1317934559952598/,2014,Hyundai,ix35,,180,,2025-11-26,,10000
https://www.facebook.com/marketplace/item/24845244061795820/,2012,Hyundai,ix35,,319,,2025-11-26,,4500
https://www.facebook.com/marketplace/item/845234588110929/,2014,Hyundai,ix35,,13,,2025-11-26,,13000
https://www.facebook.com/marketplace/item/898083336233207/,2014,Hyundai,ix35,,187,,2025-11-26,,10000
https://www.facebook.com/marketplace/item/876199098065486/,2013,Hyundai,ix35,,167,,2025-11-26,,11000
https://www.facebook.com/marketplace/item/1135073885430592/,2013,Hyundai,ix35,,146,,2025-11-26,,13000
https://www.facebook.com/marketplace/item/1912464699302637/,2014,Hyundai,ix35,,72,,2025-11-26,,14000
https://www.facebook.com/marketplace/item/2604095439954531/,2013,Hyundai,ix35,,137,,2025-11-26,,8999
https://www.facebook.com/marketplace/item/2081990745670313/,2013,Hyundai,ix35,,89,,2025-11-26,,13500
https://www.facebook.com/marketplace/item/715292671586002/,2015,Hyundai,ix35,,150,,2025-11-26,,12500
https://www.facebook.com/marketplace/item/1771917223749360/,2013,Hyundai,ix35,,202,,2025-11-26,,9800
https://www.facebook.com/marketplace/item/833745162562781/,2015,Hyundai,ix35,,180,,2025-11-26,,10499
https://www.facebook.com/marketplace/item/1353964292957585/,2014,Hyundai,ix35,,165,,2025-11-26,,11499
https://www.facebook.com/marketplace/item/2861071964060709/,2014,Hyundai,ix35,,180,,2025-11-26,,13500
https://www.facebook.com/marketplace/item/1494934808193617/,2015,Hyundai,ix35,,167,,2025-11-26,,12500
https://www.facebook.com/marketplace/item/636558029528941/,2013,Hyundai,i30,,139,,2025-11-27,,11500
https://www.facebook.com/marketplace/item/1381903226199644/,2012,Hyundai,i30,,118,,2025-11-27,,9500
https://www.facebook.com/marketplace/item/1830411497841573/,2015,Hyundai,i30,,91,,2025-11-27,,15000
https://www.facebook.com/marketplace/item/1093473908961448/,2014,Hyundai,i30,,112,,2025-11-27,,13000
https://www.facebook.com/marketplace/item/1847215559224561/,2017,Hyundai,i30,,110,,2025-11-27,,18000
https://www.facebook.com/marketplace/item/840882468436663/,2012,Hyundai,i30,,101,,2025-11-27,,13100
https://www.facebook.com/marketplace/item/1133170365639539/,2013,Hyundai,i30,,115,,2025-11-27,,11950
https://www.facebook.com/marketplace/item/1177050654382232/,2017,Hyundai,i30,,145,,2025-11-27,,19000
https://www.facebook.com/marketplace/item/841639501687979/,2013,Hyundai,i30,,150,,2025-11-27,,11900
https://www.facebook.com/marketplace/item/818136407798344/,2012,Hyundai,i30,,62,,2025-11-27,,10900
https://www.facebook.com/marketplace/item/1307633383919753/,2015,Hyundai,i30,,84,,2025-11-27,,13000
https://www.facebook.com/marketplace/item/1124301422838621/,2013,Hyundai,i30,,150,,2025-11-27,,10900
https://www.facebook.com/marketplace/item/1263328855561213/,2014,Hyundai,i30,,119,,2025-11-27,,12500
https://www.facebook.com/marketplace/item/741942588418068/,2012,Hyundai,i30,,129,,2025-11-27,,7700
https://www.facebook.com/marketplace/item/2055143868357642/,2012,Hyundai,i30,,122,,2025-11-27,,10500
https://www.facebook.com/marketplace/item/1956314454912411/,2016,Hyundai,i30,,136,,2025-11-27,,14999
https://www.facebook.com/marketplace/item/1624890395160242/,2013,Hyundai,i30,,133,,2025-11-27,,10000
https://www.facebook.com/marketplace/item/1171271750414109/,2014,Hyundai,i30,,123,,2025-11-27,,13200
https://www.facebook.com/marketplace/item/1286066865968699/,2013,Hyundai,i30,,148,,2025-11-27,,13500
https://www.facebook.com/marketplace/item/785711614502544/,2015,Hyundai,i30,,67,,2025-11-27,,14990
https://www.facebook.com/marketplace/item/1396166125469572/,2016,Hyundai,i30,,112,,2025-11-27,,14000
https://www.facebook.com/marketplace/item/1787391488631989/,2013,Hyundai,i30,,81,,2025-11-27,,14000
https://www.facebook.com/marketplace/item/2263739650789574/,2016,Hyundai,i30,,122,,2025-11-27,,14900
https://www.facebook.com/marketplace/item/1758749875519437/,2016,Hyundai,i30,,118,,2025-11-27,,13000
https://www.facebook.com/marketplace/item/1751984108812772/,2016,Hyundai,i30,,106,,2025-11-27,,15500
https://www.facebook.com/marketplace/item/1902168690723010/,2017,Hyundai,i30,,120,,2025-11-27,,16000
https://www.facebook.com/marketplace/item/1186822026708814/,2016,Hyundai,i30,,67,,2025-11-27,,14999
https://www.facebook.com/marketplace/item/1194625619189440/,2017,Hyundai,i30,,99,,2025-11-27,,21000
https://www.carsales.com.au/cars/details/2015-hyundai-i30-active-x-auto-my16/OAG-AD-25230913/,2015,Hyundai,i30,Active X Auto F MY16,88,Dealer used,2025-11-27,,15990
https://www.facebook.com/marketplace/item/816705281114140/,2017,Hyundai,i30,,105,,2025-11-27,,20000
https://www.carsales.com.au/cars/details/2015-hyundai-i30-active-x-auto-my16/SSE-AD-19585155/,2015,Hyundai,i30,Active X Auto F MY16,98,Private,2025-11-27,,14800
